Country Name,Country Code,Series Name,Series Code,Year,Proportion of Good Water Quality
Andorra,AND,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,92.9
Austria,AUT,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,80.4
Bosnia and Herzegovina,BIH,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,5.8
Botswana,BWA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,50
Brazil,BRA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,63.3
Bulgaria,BGR,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,69.9
Chile,CHL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,85.6
Cyprus,CYP,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,61.7
El Salvador,SLV,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,43.3
Estonia,EST,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
Fiji,FJI,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
Finland,FIN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,96
France,FRA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,83.5
Germany,DEU,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,39
Greece,GRC,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,49.3
Guinea,GIN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,80.9
Hungary,HUN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,57.7
Iceland,ISL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
Ireland,IRL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,61.7
Jamaica,JAM,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,92.1
Japan,JPN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,37.5
Jordan,JOR,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,92
Kenya,KEN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,35.5
Latvia,LVA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,65.4
Lebanon,LBN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,50
Lesotho,LSO,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,16.7
Liechtenstein,LIE,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,80
Lithuania,LTU,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,99.6
Madagascar,MDG,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,90.9
Marshall Islands,MHL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
Montenegro,MNE,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,94.1
Morocco,MAR,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,79.2
Namibia,NAM,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,78.6
Netherlands,NLD,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,95.9
New Zealand,NZL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,97.7
Nigeria,NGA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,52.5
North Macedonia,MKD,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,8.7
Norway,NOR,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
Peru,PER,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,36.8
Poland,POL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,33.7
Romania,ROU,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,61.4
Russian Federation,RUS,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,96
Rwanda,RWA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,30
Senegal,SEN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,44.4
Singapore,SGP,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
Slovenia,SVN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,75.8
South Africa,ZAF,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,46.9
South Sudan,SSD,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
Sudan,SDN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,86.1
Sweden,SWE,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,45.1
Switzerland,CHE,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
Uganda,UGA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,100
United Arab Emirates,ARE,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,40
Zimbabwe,ZWE,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2017,76.5
Andorra,AND,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,86
Argentina,ARG,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,18
Australia,AUS,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,87.7
Austria,AUT,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,81.8
Belarus,BLR,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,88.9
Belize,BLZ,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,79
Benin,BEN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,89.4
Bosnia and Herzegovina,BIH,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,30.6
Botswana,BWA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,78
Brazil,BRA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,71
Bulgaria,BGR,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,65.6
Burkina Faso,BFA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,97.7
Burundi,BDI,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,100
Canada,CAN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,82.2
Chile,CHL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,84
Costa Rica,CRI,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,68.5
Cote d'Ivoire,CIV,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,80
Croatia,HRV,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,55.9
Cyprus,CYP,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,61.4
Denmark,DNK,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,53.4
Dominican Republic,DOM,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,70.6
El Salvador,SLV,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,59.7
Estonia,EST,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,75.7
Ethiopia,ETH,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,96.8
Fiji,FJI,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,100
Finland,FIN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,96.8
France,FRA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,78.9
Gabon,GAB,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,93.6
Georgia,GEO,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,92
Greece,GRC,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,40.6
Guyana,GUY,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,67.8
Hungary,HUN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,59.3
Iceland,ISL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,100
Ireland,IRL,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,59.4
Jamaica,JAM,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,57.2
Japan,JPN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,37.5
Jordan,JOR,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,100
Kazakhstan,KAZ,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,63.9
Kenya,KEN,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,86.5
Lao PDR,LAO,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,80
Latvia,LVA,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,66.5
Lesotho,LSO,Proportion of bodies of water with good ambient water quality,EN.H2O.BDYS.ZS,2020,100
